Basin,Site,long,lat
Woodlark,La Scala,155.05,-9.8
Lau,Tui Malila,176.5681333,-21.9891833
Lau,ABE,176.1913167,-20.7630667
Lau,Tow Cam,176.1367167,-20.3174500
Lau,Mangatolo,174.6534667,-15.4145667
Lau,Kilo Moana,176.1333330,-20.05
